<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20220411,000000,104700.000000,104700.000000,97400.000000,101090.000000,279.000000
RIU2 [SPBFUT],Daily,20220412,000000,101880.000000,103000.000000,96750.000000,99640.000000,275.000000
RIU2 [SPBFUT],Daily,20220413,000000,100570.000000,100960.000000,97840.000000,98500.000000,93.000000
RIU2 [SPBFUT],Daily,20220414,000000,98890.000000,98890.000000,92800.000000,93220.000000,356.000000
RIU2 [SPBFUT],Daily,20220415,000000,92000.000000,96590.000000,90600.000000,96500.000000,244.000000
RIU2 [SPBFUT],Daily,20220418,000000,96900.000000,96900.000000,91500.000000,92200.000000,249.000000
RIU2 [SPBFUT],Daily,20220419,000000,91100.000000,93060.000000,87570.000000,92960.000000,483.000000
RIU2 [SPBFUT],Daily,20220420,000000,93420.000000,96440.000000,90470.000000,95000.000000,442.000000
RIU2 [SPBFUT],Daily,20220421,000000,96100.000000,96760.000000,91500.000000,94500.000000,275.000000
RIU2 [SPBFUT],Daily,20220422,000000,93050.000000,113400.000000,91770.000000,91820.000000,935.000000
RIU2 [SPBFUT],Daily,20220425,000000,91700.000000,93520.000000,89760.000000,93060.000000,248.000000
RIU2 [SPBFUT],Daily,20220426,000000,94110.000000,98550.000000,93380.000000,98040.000000,626.000000
RIU2 [SPBFUT],Daily,20220427,000000,97200.000000,103050.000000,96500.000000,103050.000000,493.000000
RIU2 [SPBFUT],Daily,20220428,000000,103620.000000,107090.000000,100290.000000,101560.000000,757.000000
RIU2 [SPBFUT],Daily,20220429,000000,102260.000000,106690.000000,101180.000000,106620.000000,592.000000
RIU2 [SPBFUT],Daily,20220504,000000,107480.000000,110080.000000,102130.000000,106570.000000,383.000000
RIU2 [SPBFUT],Daily,20220505,000000,107980.000000,110610.000000,107460.000000,108210.000000,475.000000
RIU2 [SPBFUT],Daily,20220506,000000,107730.000000,109430.000000,101520.000000,102410.000000,466.000000
RIU2 [SPBFUT],Daily,20220511,000000,101900.000000,110380.000000,100670.000000,110380.000000,426.000000
RIU2 [SPBFUT],Daily,20220512,000000,109400.000000,111260.000000,106220.000000,111100.000000,543.000000
RIU2 [SPBFUT],Daily,20220513,000000,112110.000000,113280.000000,106920.000000,110700.000000,712.000000
RIU2 [SPBFUT],Daily,20220516,000000,110080.000000,116500.000000,110080.000000,115040.000000,435.000000
RIU2 [SPBFUT],Daily,20220517,000000,116000.000000,116740.000000,113500.000000,116740.000000,461.000000
RIU2 [SPBFUT],Daily,20220518,000000,117240.000000,120000.000000,116340.000000,116750.000000,539.000000
RIU2 [SPBFUT],Daily,20220519,000000,116160.000000,119280.000000,114510.000000,119100.000000,766.000000
RIU2 [SPBFUT],Daily,20220520,000000,119290.000000,123360.000000,115730.000000,118200.000000,809.000000
RIU2 [SPBFUT],Daily,20220523,000000,118570.000000,121000.000000,116540.000000,117790.000000,840.000000
RIU2 [SPBFUT],Daily,20220524,000000,115870.000000,120300.000000,113160.000000,120100.000000,1272.000000
RIU2 [SPBFUT],Daily,20220525,000000,120470.000000,122320.000000,113580.000000,115830.000000,1453.000000
RIU2 [SPBFUT],Daily,20220526,000000,116000.000000,117950.000000,109980.000000,112680.000000,1916.000000
RIU2 [SPBFUT],Daily,20220527,000000,113010.000000,113070.000000,108750.000000,109950.000000,1543.000000
RIU2 [SPBFUT],Daily,20220530,000000,110450.000000,115370.000000,110450.000000,115140.000000,2370.000000
RIU2 [SPBFUT],Daily,20220531,000000,115130.000000,116750.000000,111440.000000,113380.000000,1893.000000
RIU2 [SPBFUT],Daily,20220601,000000,113550.000000,116510.000000,112250.000000,116100.000000,964.000000
RIU2 [SPBFUT],Daily,20220602,000000,115310.000000,116930.000000,112130.000000,113240.000000,1987.000000
RIU2 [SPBFUT],Daily,20220603,000000,112950.000000,114670.000000,109820.000000,113940.000000,1530.000000
RIU2 [SPBFUT],Daily,20220606,000000,115540.000000,115540.000000,110970.000000,111990.000000,1385.000000
RIU2 [SPBFUT],Daily,20220607,000000,111570.000000,113480.000000,110000.000000,112250.000000,2247.000000
RIU2 [SPBFUT],Daily,20220608,000000,112000.000000,117260.000000,112000.000000,116800.000000,3010.000000
RIU2 [SPBFUT],Daily,20220609,000000,117370.000000,117880.000000,113150.000000,113700.000000,4084.000000
RIU2 [SPBFUT],Daily,20220610,000000,113000.000000,118470.000000,112850.000000,117170.000000,4455.000000
RIU2 [SPBFUT],Daily,20220614,000000,116800.000000,118610.000000,112540.000000,114470.000000,18461.000000
RIU2 [SPBFUT],Daily,20220615,000000,114660.000000,119000.000000,113400.000000,118710.000000,35784.000000
RIU2 [SPBFUT],Daily,20220616,000000,118620.000000,120990.000000,117540.000000,120040.000000,86128.000000
RIU2 [SPBFUT],Daily,20220617,000000,120140.000000,120810.000000,117060.000000,117700.000000,121856.000000
RIU2 [SPBFUT],Daily,20220620,000000,117610.000000,121470.000000,116800.000000,120930.000000,113128.000000
RIU2 [SPBFUT],Daily,20220621,000000,121270.000000,122630.000000,119730.000000,121290.000000,120961.000000
RIU2 [SPBFUT],Daily,20220622,000000,120970.000000,124500.000000,119520.000000,124490.000000,138708.000000
RIU2 [SPBFUT],Daily,20220623,000000,124310.000000,126460.000000,123220.000000,126080.000000,118127.000000
